1021615,4355712,15138396,pv,1601688552
2178695,12498888,2595117,pv,1601688552
4306505,17843562,462120,pv,1601688552
1316425,18085380,6039696,pv,1601688552
3011370,25521774,14268315,pv,1601688552
3690705,1792242,14268315,pv,1601688552
2088160,22210836,15160524,pv,1601688552
4248490,24485214,6743361,pv,1601688552
4675130,4296588,12437439,pv,1601688552
3863305,2385090,8778060,cart,1601688552
853280,2473944,7562313,pv,1601688552
3160805,29277204,7562313,pv,1601688552
3179960,13899750,7065216,pv,1601688552
1012740,10601868,14454321,pv,1601688552
4709790,10601868,14454321,pv,1601688552
1943885,27927534,9196935,pv,1601688552
2749790,12243684,14268315,pv,1601688553
2769040,7773702,9744216,cart,1601688553
3063645,14408430,4726866,pv,1601688553
3519700,19247652,9507885,pv,1601688553
401905,758484,3843513,pv,1601688553
3237730,20099274,11007132,pv,1601688553
86385,3627336,12208500,pv,1601688553
4889120,7330692,13074882,pv,1601688553
2717705,16799250,14268315,pv,1601688553
494310,7317342,14404278,pv,1601688553
1971755,7375740,15405765,pv,1601688553
883660,19070922,4702911,pv,1601688553
3075480,27775218,14093916,pv,1601688553
1634950,1018566,2948778,pv,1601688553
3368630,1364820,3222762,buy,1601688553
4310270,22352286,10195701,pv,1601688553
752325,15722982,522717,pv,1601688553
974460,27560130,2597757,pv,1601688553
619400,15115764,4295430,pv,1601688553
331315,22007634,7320345,pv,1601688554
4272110,16003878,10385469,buy,1601688554
4337550,12208218,12490977,pv,1601688554
2517125,7704690,7087110,pv,1601688554
4381515,7042332,12437439,pv,1601688554
4236210,22371504,4048683,pv,1601688554
1727285,8401182,10115604,pv,1601688554
882630,11666406,10822083,pv,1601688554
2556725,1755690,2658609,pv,1601688554
1368605,13951860,4250139,pv,1601688554
3962405,18916440,10822083,pv,1601688554
238215,6278568,5637582,pv,1601688554
3387015,2901900,7085484,cart,1601688554
940475,27582450,10796736,pv,1601688554
329065,7654212,14268315,pv,1601688554
6630,23508282,12437439,pv,1601688554
3067180,21004494,9140802,pv,1601688554
4537330,24665214,14071263,pv,1601688554
4342515,9022452,7065216,pv,1601688554
2847315,2971974,7562313,pv,1601688554
877150,29474796,6912888,cart,1601688554
226545,10221954,8898909,pv,1601688554
3395310,23848704,9007683,pv,1601688554
4355915,9995232,7396008,pv,1601688554
417880,23289858,12437439,cart,1601688554
3802220,12340380,12437439,pv,1601688554
3324480,15377490,2591325,pv,1601688555
5014625,14639958,306816,cart,1601688555
1182550,11012472,12544083,pv,1601688555
3330895,2338800,462120,pv,1601688555
3556035,18948198,10595100,pv,1601688555
4317000,30413466,3796074,pv,1601688555
884385,17067594,4726866,cart,1601688555
1971395,4322748,12437439,pv,1601688555
4712920,2631054,7561131,pv,1601688555
4011670,28364514,2301318,pv,1601688555
3606515,10028340,11415195,pv,1601688555
150680,9103434,7065216,pv,1601688555
3832180,2089752,13332906,pv,1601688555
5000130,23148252,3960879,pv,1601688555
1840200,22117536,1217265,pv,1601688555
120800,22968192,7601589,pv,1601688555
4830,17469828,14110449,buy,1601688556
1867030,27108018,12545451,pv,1601688556
4390440,22883622,12444159,pv,1601688556
449545,11456130,1712205,pv,1601688556
1347270,27638586,14071263,pv,1601688556
3334495,25451220,679023,pv,1601688556
993430,9885276,9372507,pv,1601688556
4978355,9835890,12854625,pv,1601688556
3916265,9063084,4392348,pv,1601688556
314590,8815962,14886840,pv,1601688556
2772970,24419304,8674224,pv,1601688556
2393570,22382946,7396008,pv,1601688556
915445,5022678,735936,pv,1601688556
1682655,7048938,8761428,cart,1601688556
518700,14030718,10822083,pv,1601688557
486290,28860204,2703846,pv,1601688557
951505,11830464,9626877,pv,1601688557
4659195,30392418,14482611,pv,1601688557
